id	group	week	score
1	Exp	0	45
1	Exp	1	45
1	Exp	2	45
1	Exp	3	45
1	Exp	4	80
1	Exp	5	80
1	Exp	6	80
1	Exp	7	90
2	Exp	0	20
2	Exp	1	25
2	Exp	2	25
2	Exp	3	25
2	Exp	4	30
2	Exp	5	35
2	Exp	6	30
2	Exp	7	50
3	Exp	0	50
3	Exp	1	50
3	Exp	2	55
3	Exp	3	70
3	Exp	4	70
3	Exp	5	75
3	Exp	6	90
3	Exp	7	90
4	Exp	0	25
4	Exp	1	25
4	Exp	2	35
4	Exp	3	40
4	Exp	4	60
4	Exp	5	60
4	Exp	6	70
4	Exp	7	80
5	Exp	0	100
5	Exp	1	100
5	Exp	2	100
5	Exp	3	100
5	Exp	4	100
5	Exp	5	100
5	Exp	6	100
5	Exp	7	100
6	Exp	0	20
6	Exp	1	20
6	Exp	2	30
6	Exp	3	50
6	Exp	4	50
6	Exp	5	60
6	Exp	6	85
6	Exp	7	95
7	Exp	0	30
7	Exp	1	35
7	Exp	2	35
7	Exp	3	40
7	Exp	4	50
7	Exp	5	60
7	Exp	6	75
7	Exp	7	85
8	Exp	0	30
8	Exp	1	35
8	Exp	2	45
8	Exp	3	50
8	Exp	4	55
8	Exp	5	65
8	Exp	6	65
8	Exp	7	70
9	Std	0	40
9	Std	1	55
9	Std	2	60
9	Std	3	70
9	Std	4	80
9	Std	5	85
9	Std	6	90
9	Std	7	90
10	Std	0	65
10	Std	1	65
10	Std	2	70
10	Std	3	70
10	Std	4	80
10	Std	5	80
10	Std	6	80
10	Std	7	80
11	Std	0	30
11	Std	1	30
11	Std	2	40
11	Std	3	45
11	Std	4	65
11	Std	5	85
11	Std	6	85
11	Std	7	85
12	Std	0	25
12	Std	1	35
12	Std	2	35
12	Std	3	35
12	Std	4	40
12	Std	5	45
12	Std	6	45
12	Std	7	45
13	Std	0	45
13	Std	1	45
13	Std	2	80
13	Std	3	80
13	Std	4	80
13	Std	5	80
13	Std	6	80
13	Std	7	80
14	Std	0	15
14	Std	1	15
14	Std	2	10
14	Std	3	10
14	Std	4	10
14	Std	5	20
14	Std	6	20
14	Std	7	20
15	Std	0	35
15	Std	1	35
15	Std	2	35
15	Std	3	45
15	Std	4	45
15	Std	5	45
15	Std	6	50
15	Std	7	50
16	Std	0	40
16	Std	1	40
16	Std	2	40
16	Std	3	55
16	Std	4	55
16	Std	5	55
16	Std	6	60
16	Std	7	65
