dose	resp
D1	R3
D1	R3
D1	R3
D1	R3
D1	R2
D1	R2
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D1	R1
D2	R3
D2	R3
D2	R3
D2	R3
D2	R3
D2	R3
D2	R3
D2	R2
D2	R2
D2	R2
D2	R2
D2	R2
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D2	R1
D3	R3
D3	R3
D3	R3
D3	R3
D3	R3
D3	R3
D3	R2
D3	R2
D3	R2
D3	R2
D3	R2
D3	R2
D3	R2
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D3	R1
D4	R3
D4	R3
D4	R3
D4	R3
D4	R3
D4	R3
D4	R3
D4	R3
D4	R3
D4	R3
D4	R2
D4	R2
D4	R2
D4	R2
D4	R2
D4	R2
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
D4	R1
